feature,mi_score,rank,batch
IAT,0.6374280444393964,1,batch_1
Number,0.6374280444393964,2,batch_1
Weight,0.6374280444393964,3,batch_1
rst_count,0.5950182229433562,4,batch_1
urg_count,0.586205651576547,5,batch_2
Variance,0.5300202410648005,6,batch_2
Tot size,0.5270621016018278,7,batch_2
Max,0.5196686769760899,8,batch_2
AVG,0.5048586992829143,9,batch_3
Magnitue,0.49293951309986617,10,batch_3
flow_duration,0.46928311378272736,11,batch_3
Tot sum,0.4667312954308318,12,batch_3
Duration,0.41818771137856814,13,other
Min,0.4173877796283385,14,other
Protocol Type,0.3952294782126382,15,other
Std,0.35492851754172694,16,other
Radius,0.35123316562695317,17,other
Covariance,0.32233088178960845,18,other
ack_flag_number,0.3216350862532742,19,other
Header_Length,0.3212970179186361,20,other
HTTPS,0.28286795190087055,21,other
syn_count,0.1966363221423375,22,other
Rate,0.16648110931814353,23,other
Srate,0.16648110931814353,24,other
TCP,0.11632686522942937,25,other
ack_count,0.08021757432894616,26,other
fin_count,0.042164804401791045,27,other
syn_flag_number,0.04103029311278528,28,other
fin_flag_number,0.03792392678870482,29,other
rst_flag_number,0.03579460679124402,30,other
ece_flag_number,0.033993713483974286,31,other
psh_flag_number,0.03310455590434214,32,other
ICMP,0.02721663889125514,33,other
DHCP,0.02587878357248896,34,other
UDP,0.021071404905071534,35,other
LLC,0.02085529498098193,36,other
ARP,0.014226015010152526,37,other
HTTP,0.012397572311634075,38,other
DNS,0.010227480943593603,39,other
cwr_flag_number,0.008026706496872649,40,other
IPv,0.007997005686761538,41,other
SSH,0.007822547298228066,42,other
SMTP,0.003561645663033186,43,other
Telnet,0.0029710359266226227,44,other
Drate,0.0,45,other
IRC,0.0,46,other
